meal_id,meal_type,name,calories,protein,carbs,fat,diet,cuisine,source
284,Snack,Oatmeal Cookies (Low Sugar),227,11,12,11,Vegetarian,Hyderabadi,Manjula's Kitchen
285,Snack,Rava Dosa,254,8,57,5,Vegetarian,South Indian,Manjula's Kitchen
286,Snack,Masala Omelette,189,10,5,14,Vegetarian,Punjabi,Manjula's Kitchen
287,Snack,Cucumber Sticks with Hummus,170,4,29,4,Vegan,South Indian,Manjula's Kitchen
288,Snack,Vegetable Salad,221,9,53,3,Vegetarian,West Indian,Sanjeev Kapoor
289,Snack,Chana Dal (Split Chickpeas Curry),331,15,58,9,Vegetarian,Marathi,Manjula's Kitchen
290,Snack,Carrot Halwa (Light),276,3,55,5,Vegetarian,Punjabi,Manjula's Kitchen
291,Snack,Cucumber Sticks with Hummus,221,9,32,6,Vegan,Marathi,Manjula's Kitchen
292,Snack,Papaya Salad (Indian style),291,1,71,2,Vegan,North Indian,Manjula's Kitchen
293,Snack,Masala Corn,289,7,60,4,Vegetarian,Marathi,Manjula's Kitchen
294,Snack,Cucumber Sticks with Hummus,337,14,33,10,Vegan,Punjabi,Manjula's Kitchen
295,Snack,Masala Corn,320,12,51,7,Vegetarian,Maharashtrian,Manjula's Kitchen
296,Snack,Oatmeal Cookies (Low Sugar),330,15,50,9,Vegetarian,Punjabi,Manjula's Kitchen
297,Snack,Fruit Salad with Mint,272,3,60,2,Vegan,North Indian,Manjula's Kitchen
298,Snack,Masala Omelette,234,11,7,11,Vegetarian,Marathi,Manjula's Kitchen
299,Snack,Roasted Chickpeas,199,12,37,3,Vegan,Bengali,Manjula's Kitchen
300,Snack,Oatmeal Cookies (Low Sugar),236,12,48,6,Vegetarian,Punjabi,Manjula's Kitchen
301,Snack,Vegetable Salad,236,4,30,3,Vegetarian,Marathi,Manjula's Kitchen
302,Snack,Roasted Makhana (Foxnuts),317,12,41,6,Vegan,Punjabi,Manjula's Kitchen
303,Snack,Idli (Steamed Rice Cakes),192,7,37,6,Vegetarian,Marathi,Manjula's Kitchen
304,Snack,Vegetable Soup,337,14,52,9,Vegetarian,Kashmiri,Manjula's Kitchen
305,Snack,Paneer Paratha,203,7,25,9,Vegetarian,Punjabi,Manjula's Kitchen
306,Snack,Oatmeal Cookies (Low Sugar),343,13,53,6,Vegetarian,Kashmiri,Manjula's Kitchen
307,Snack,Vegetable Soup,183,11,19,5,Vegetarian,Marathi,Manjula's Kitchen
308,Snack,Vegetable Soup,227,8,39,3,Vegetarian,Kashmiri,Manjula's Kitchen
309,Snack,Masala Omelette,259,10,11,16,Vegetarian,Hyderabadi,Manjula's Kitchen
310,Snack,Cucumber Sticks with Hummus,269,14,25,9,Vegan,Punjabi,Manjula's Kitchen
311,Snack,Oatmeal Cookies (Low Sugar),265,7,54,4,Vegetarian,Kashmiri,Manjula's Kitchen
312,Snack,Besan Chilla (Gram Pancake),220,7,33,6,Vegetarian,Punjabi,Manjula's Kitchen
313,Snack,Vegetable Soup,304,16,33,13,Vegetarian,Kashmiri,Manjula's Kitchen
314,Snack,Mixed Nuts & Seeds,338,8,36,25,Vegan,Punjabi,Manjula's Kitchen
315,Snack,Masala Omelette,289,14,4,21,Vegetarian,Andhra,Manjula's Kitchen
316,Snack,Oatmeal Cookies (Low Sugar),328,15,52,8,Vegetarian,Maharashtrian,Manjula's Kitchen
317,Snack,Idli (Steamed Rice Cakes),198,8,27,7,Vegetarian,Marathi,Manjula's Kitchen
318,Snack,Oatmeal Cookies (Low Sugar),269,14,42,5,Vegetarian,Marathi,Manjula's Kitchen
319,Snack,Sprouts Chaat,306,12,58,8,Vegetarian,West Indian,Manjula's Kitchen
320,Snack,Masala Corn,298,13,53,4,Vegetarian,Maharashtrian,Manjula's Kitchen
321,Snack,Mixed Nuts & Seeds,238,5,12,25,Vegan,North Indian,Manjula's Kitchen
322,Snack,Oatmeal Cookies (Low Sugar),246,12,27,15,Vegetarian,Rajasthani,Manjula's Kitchen
323,Snack,Masala Omelette,220,14,8,12,Vegetarian,Hyderabadi,Manjula's Kitchen
324,Snack,Mixed Nuts & Seeds,304,9,36,18,Vegan,Andhra,Manjula's Kitchen
325,Snack,Oatmeal Cookies (Low Sugar),349,16,50,11,Vegetarian,Kashmiri,Manjula's Kitchen
326,Snack,Masala Corn,276,14,47,7,Vegetarian,Kashmiri,Manjula's Kitchen
327,Snack,Masala Corn,227,6,38,9,Vegetarian,Marathi,Manjula's Kitchen
328,Snack,Oatmeal Cookies (Low Sugar),247,14,35,10,Vegetarian,West Indian,Manjula's Kitchen
329,Snack,Vegetable Soup,283,11,50,15,Vegetarian,Kashmiri,Manjula's Kitchen
330,Snack,Avocado Smoothie,227,10,7,13,Vegetarian,Marathi,Manjula's Kitchen
331,Snack,Oatmeal Cookies (Low Sugar),267,5,49,1,Vegetarian,Marathi,Manjula's Kitchen
332,Snack,Roasted Chickpeas,332,10,61,12,Vegan,Punjabi,Manjula's Kitchen
333,Snack,Masala Omelette,326,14,17,14,Vegetarian,West Indian,Manjula's Kitchen
334,Snack,Roasted Makhana (Foxnuts),185,15,51,14,Vegan,Punjabi,Manjula's Kitchen
335,Snack,Masala Omelette,212,8,5,19,Vegetarian,Kashmiri,Manjula's Kitchen
336,Snack,Cucumber Sticks with Hummus,332,9,26,20,Vegan,Marathi,Manjula's Kitchen
337,Snack,Oatmeal Cookies (Low Sugar),281,12,54,8,Vegetarian,Marathi,Manjula's Kitchen
338,Snack,Masala Omelette,201,13,9,13,Vegetarian,West Indian,Manjula's Kitchen
339,Snack,Vegetable Soup,188,5,33,1,Vegetarian,South Indian,Manjula's Kitchen
340,Snack,Oatmeal Cookies (Low Sugar),177,5,37,7,Vegetarian,Marathi,Manjula's Kitchen
341,Snack,Oatmeal Cookies (Low Sugar),334,14,52,12,Vegetarian,Kashmiri,Manjula's Kitchen
342,Snack,Oatmeal Cookies (Low Sugar),191,10,30,2,Vegetarian,West Indian,Manjula's Kitchen
343,Snack,Masala Corn,300,12,49,11,Vegetarian,West Indian,Manjula's Kitchen
344,Snack,Sprouts Chaat,194,11,25,4,Vegetarian,Hyderabadi,Manjula's Kitchen
345,Snack,Oatmeal Cookies (Low Sugar),229,12,46,5,Vegetarian,Andhra,Manjula's Kitchen
346,Snack,Masala Corn,307,12,49,11,Vegetarian,Marathi,Manjula's Kitchen
347,Snack,Roasted Chickpeas,356,11,56,13,Vegan,West Indian,Manjula's Kitchen
348,Snack,Masala Corn,198,5,54,2,Vegetarian,Marathi,Manjula's Kitchen
349,Snack,Oatmeal Cookies (Low Sugar),318,13,51,9,Vegetarian,West Indian,Manjula's Kitchen
350,Snack,Cucumber Sticks with Hummus,205,5,20,5,Vegan,West Indian,Manjula's Kitchen
351,Snack,Oatmeal Cookies (Low Sugar),276,14,45,12,Vegetarian,South Indian,Manjula's Kitchen
352,Snack,Masala Corn,315,9,56,14,Vegetarian,West Indian,Manjula's Kitchen
353,Snack,Roasted Makhana (Foxnuts),185,15,51,14,Vegan,Punjabi,Manjula's Kitchen
354,Snack,Oatmeal Cookies (Low Sugar),230,11,47,6,Vegetarian,Punjabi,Manjula's Kitchen
355,Snack,Vegetable Soup,338,15,51,12,Vegetarian,Hyderabadi,Manjula's Kitchen
356,Snack,Cucumber Sticks with Hummus,301,9,28,23,Vegan,West Indian,Manjula's Kitchen
357,Snack,Masala Corn,348,9,53,14,Vegetarian,Punjabi,Manjula's Kitchen
358,Snack,Masala Corn,211,5,44,9,Vegetarian,West Indian,Manjula's Kitchen
359,Snack,Masala Omelette,302,18,41,9,Vegetarian,Punjabi,Manjula's Kitchen
360,Snack,Oatmeal Cookies (Low Sugar),256,7,20,11,Vegetarian,Punjabi,Manjula's Kitchen
361,Snack,Oatmeal Cookies (Low Sugar),289,14,49,9,Vegetarian,West Indian,Manjula's Kitchen
362,Snack,Masala Corn,266,9,40,5,Vegetarian,West Indian,Manjula's Kitchen
363,Snack,Oatmeal Cookies (Low Sugar),217,4,36,1,Vegetarian,West Indian,Manjula's Kitchen
364,Snack,Masala Corn,285,11,52,4,Vegetarian,Kashmiri,Manjula's Kitchen
365,Snack,Masala Corn,211,9,44,3,Vegetarian,Marathi,Manjula's Kitchen
366,Snack,Vegetable Soup,207,9,43,3,Vegetarian,West Indian,Manjula's Kitchen
367,Snack,Vegetable Salad,217,5,39,3,Vegetarian,West Indian,Manjula's Kitchen
368,Snack,Masala Corn,240,12,28,8,Vegetarian,Kashmiri,Manjula's Kitchen
369,Snack,Mixed Nuts & Seeds,257,6,15,20,Vegan,West Indian,Manjula's Kitchen
370,Snack,Oatmeal Cookies (Low Sugar),307,13,59,8,Vegetarian,South Indian,Manjula's Kitchen
371,Snack,Masala Corn,294,7,55,5,Vegetarian,Andhra,Manjula's Kitchen
372,Snack,Cucumber Slices with Hummus,220,9,35,8,Vegan,Kashmiri,Manjula's Kitchen
373,Snack,Masala Omelette,276,9,8,18,Vegetarian,Hyderabadi,Manjula's Kitchen
374,Snack,Oatmeal Cookies (Low Sugar),283,14,45,8,Vegetarian,Marathi,Manjula's Kitchen
375,Snack,Masala Corn,249,10,47,6,Vegetarian,West Indian,Manjula's Kitchen
376,Snack,Oatmeal Cookies (Low Sugar),257,9,47,6,Vegetarian,West Indian,Manjula's Kitchen
377,Snack,Masala Corn,223,10,39,5,Vegetarian,Hyderabadi,Manjula's Kitchen
378,Snack,Masala Corn,308,9,49,7,Vegetarian,Andhra,Manjula's Kitchen
379,Snack,Masala Corn,298,12,46,6,Vegetarian,Kashmiri,Manjula's Kitchen
380,Snack,Masala Corn,296,12,47,5,Vegetarian,Kashmiri,Manjula's Kitchen
381,Snack,Oatmeal Cookies (Low Sugar),192,9,24,1,Vegetarian,Hyderabadi,Manjula's Kitchen
382,Snack,Masala Corn,226,11,47,6,Vegetarian,Kashmiri,Manjula's Kitchen
383,Snack,Masala Corn,309,12,52,7,Vegetarian,Hyderabadi,Manjula's Kitchen
384,Snack,Masala Corn,283,6,49,5,Vegetarian,Hyderabadi,Manjula's Kitchen
385,Snack,Oatmeal Cookies (Low Sugar),247,9,41,3,Vegetarian,South Indian,Manjula's Kitchen
386,Snack,Masala Corn,281,11,51,5,Vegetarian,Marathi,Manjula's Kitchen
387,Snack,Masala Corn,228,8,40,4,Vegetarian,Marathi,Manjula's Kitchen
388,Snack,Masala Corn,215,9,45,4,Vegetarian,Punjabi,Manjula's Kitchen
389,Snack,Oatmeal Cookies (Low Sugar),303,15,48,7,Vegetarian,North Indian,Manjula's Kitchen
390,Snack,Oatmeal Cookies (Low Sugar),244,12,42,4,Vegetarian,Marathi,Manjula's Kitchen
391,Snack,Oatmeal Cookies (Low Sugar),229,14,33,10,Vegetarian,West Indian,Manjula's Kitchen
392,Snack,Masala Corn,336,7,63,3,Vegetarian,West Indian,Manjula's Kitchen
393,Snack,Masala Corn,232,5,47,6,Vegetarian,Hyderabadi,Manjula's Kitchen
394,Snack,Oatmeal Cookies (Low Sugar),289,9,43,6,Vegetarian,North Indian,Manjula's Kitchen
395,Snack,Oatmeal Cookies (Low Sugar),204,4,46,3,Vegetarian,Hyderabadi,Manjula's Kitchen
396,Snack,Masala Corn,264,9,45,5,Vegetarian,Andhra,Manjula's Kitchen
397,Snack,Masala Corn,180,7,36,3,Vegetarian,Hyderabadi,Manjula's Kitchen
398,Snack,Masala Corn,312,9,49,10,Vegetarian,Hyderabadi,Manjula's Kitchen
399,Snack,Masala Corn,232,8,46,5,Vegetarian,Marathi,Manjula's Kitchen
400,Snack,Masala Corn,229,8,44,5,Vegetarian,Kashmiri,Manjula's Kitchen
401,Snack,Oatmeal Cookies (Low Sugar),288,15,49,5,Vegetarian,West Indian,Manjula's Kitchen
402,Snack,Oatmeal Cookies (Low Sugar),312,11,59,2,Vegetarian,Marathi,Manjula's Kitchen
403,Snack,Masala Corn,333,7,53,5,Vegetarian,Kashmiri,Manjula's Kitchen
404,Snack,Masala Corn,335,9,52,9,Vegetarian,Kashmiri,Manjula's Kitchen
405,Snack,Masala Corn,261,10,50,5,Vegetarian,Marathi,Manjula's Kitchen
406,Snack,Oatmeal Cookies (Low Sugar),301,16,58,5,Vegetarian,Punjabi,Manjula's Kitchen
407,Snack,Oatmeal Cookies (Low Sugar),252,6,49,3,Vegetarian,Kashmiri,Manjula's Kitchen
408,Snack,Oatmeal Cookies (Low Sugar),183,8,34,2,Vegetarian,Kashmiri,Manjula's Kitchen
409,Snack,Masala Corn,255,12,49,4,Vegetarian,Kashmiri,Manjula's Kitchen
410,Snack,Masala Corn,306,13,52,5,Vegetarian,Kashmiri,Manjula's Kitchen
411,Snack,Oatmeal Cookies (Low Sugar),209,11,48,5,Vegetarian,West Indian,Manjula's Kitchen
412,Snack,Oatmeal Cookies (Low Sugar),336,15,60,7,Vegetarian,Maharashtrian,Manjula's Kitchen
413,Snack,Oatmeal Cookies (Low Sugar),241,5,36,4,Vegetarian,Punjabi,Manjula's Kitchen
414,Snack,Masala Corn,319,12,57,9,Vegetarian,Kashmiri,Manjula's Kitchen
415,Snack,Masala Corn,322,14,61,4,Vegetarian,Hyderabadi,Manjula's Kitchen
416,Snack,Masala Corn,329,14,56,7,Vegetarian,Kashmiri,Manjula's Kitchen
417,Snack,Oatmeal Cookies (Low Sugar),228,7,40,7,Vegetarian,South Indian,Manjula's Kitchen
418,Snack,Oatmeal Cookies (Low Sugar),296,13,54,7,Vegetarian,North Indian,Manjula's Kitchen
419,Snack,Masala Corn,259,4,43,9,Vegetarian,Marathi,Manjula's Kitchen
420,Snack,Masala Corn,268,11,49,9,Vegetarian,Marathi,Manjula's Kitchen
421,Snack,Vegetable Soup,251,14,37,6,Vegetarian,Hyderabadi,Manjula's Kitchen
422,Snack,Oatmeal Cookies (Low Sugar),246,6,52,1,Vegetarian,Punjabi,Manjula's Kitchen
423,Snack,Oatmeal Cookies (Low Sugar),298,6,42,13,Vegetarian,Punjabi,Manjula's Kitchen
424,Snack,Masala Corn,227,12,46,7,Vegetarian,South Indian,Manjula's Kitchen
425,Snack,Masala Corn,183,7,36,5,Vegetarian,West Indian,Manjula's Kitchen
426,Snack,Oatmeal Cookies (Low Sugar),302,12,47,7,Vegetarian,Kashmiri,Manjula's Kitchen
427,Snack,Oatmeal Cookies (Low Sugar),317,13,53,8,Vegetarian,Kashmiri,Manjula's Kitchen
428,Snack,Oatmeal Cookies (Low Sugar),317,12,56,6,Vegetarian,South Indian,Manjula's Kitchen
429,Snack,Oatmeal Cookies (Low Sugar),229,13,44,8,Vegetarian,Kashmiri,Manjula's Kitchen
430,Snack,Masala Corn,258,12,47,7,Vegetarian,Marathi,Manjula's Kitchen
431,Snack,Oatmeal Cookies (Low Sugar),182,13,26,2,Vegetarian,Kashmiri,Manjula's Kitchen
432,Snack,Oatmeal Cookies (Low Sugar),304,15,52,8,Vegetarian,South Indian,Manjula's Kitchen
433,Snack,Oatmeal Cookies (Low Sugar),250,12,52,5,Vegetarian,South Indian,Manjula's Kitchen
434,Snack,Masala Corn,256,12,54,7,Vegetarian,South Indian,Manjula's Kitchen
435,Snack,Masala Corn,240,15,46,5,Vegetarian,North Indian,Manjula's Kitchen
436,Snack,Masala Corn,321,12,59,6,Vegetarian,Kashmiri,Manjula's Kitchen
437,Snack,Oatmeal Cookies (Low Sugar),325,14,52,8,Vegetarian,Kashmiri,Manjula's Kitchen
438,Snack,Oatmeal Cookies (Low Sugar),326,13,62,5,Vegetarian,Punjabi,Manjula's Kitchen
439,Snack,Masala Corn,286,11,54,4,Vegetarian,Punjabi,Manjula's Kitchen
440,Snack,Oatmeal Cookies (Low Sugar),286,8,34,8,Vegetarian,Hyderabadi,Manjula's Kitchen
441,Snack,Oatmeal Cookies (Low Sugar),259,12,47,6,Vegetarian,Hyderabadi,Manjula's Kitchen
442,Snack,Oatmeal Cookies (Low Sugar),257,12,40,8,Vegetarian,West Indian,Manjula's Kitchen
443,Snack,Oatmeal Cookies (Low Sugar),320,15,57,8,Vegetarian,Punjabi,Manjula's Kitchen
444,Snack,Masala Corn,317,12,54,7,Vegetarian,Marathi,Manjula's Kitchen
445,Snack,Masala Corn,271,11,38,6,Vegetarian,Hyderabadi,Manjula's Kitchen
446,Snack,Vegetable Soup,351,17,62,11,Vegetarian,Hyderabadi,Manjula's Kitchen
447,Snack,Vegetable Soup,342,11,64,10,Vegetarian,Marathi,Manjula's Kitchen
448,Snack,Masala Corn,253,11,44,7,Vegetarian,Kashmiri,Manjula's Kitchen
449,Snack,Masala Corn,303,14,57,6,Vegetarian,Kashmiri,Manjula's Kitchen
450,Snack,Oatmeal Cookies (Low Sugar),328,10,51,9,Vegetarian,Punjabi,Manjula's Kitchen
451,Snack,Oatmeal Cookies (Low Sugar),296,11,48,5,Vegetarian,West Indian,Manjula's Kitchen
452,Snack,Masala Corn,268,10,45,6,Vegetarian,Maharashtrian,Manjula's Kitchen
453,Snack,Roasted Makhana (Foxnuts),251,13,50,11,Vegan,Punjabi,Manjula's Kitchen
454,Snack,Masala Corn,307,10,52,6,Vegetarian,South Indian,Manjula's Kitchen
455,Snack,Masala Corn,268,10,45,9,Vegetarian,Maharashtrian,Manjula's Kitchen
456,Snack,Oatmeal Cookies (Low Sugar),324,12,56,9,Vegetarian,Kashmiri,Manjula's Kitchen
457,Snack,Masala Corn,263,14,42,6,Vegetarian,Maharashtrian,Manjula's Kitchen
458,Snack,Oatmeal Cookies (Low Sugar),315,15,58,9,Vegetarian,Punjabi,Manjula's Kitchen
459,Snack,Oatmeal Cookies (Low Sugar),300,12,58,4,Vegetarian,Kashmiri,Manjula's Kitchen
460,Snack,Oatmeal Cookies (Low Sugar),241,13,50,5,Vegetarian,Punjabi,Manjula's Kitchen
461,Snack,Masala Corn,352,13,59,8,Vegetarian,Punjabi,Manjula's Kitchen
462,Snack,Masala Corn,288,14,56,7,Vegetarian,Hyderabadi,Manjula's Kitchen
463,Snack,Oatmeal Cookies (Low Sugar),251,8,36,4,Vegetarian,Marathi,Manjula's Kitchen
464,Snack,Masala Corn,297,9,55,6,Vegetarian,Marathi,Manjula's Kitchen
465,Snack,Oatmeal Cookies (Low Sugar),267,10,54,3,Vegetarian,Punjabi,Manjula's Kitchen
466,Snack,Masala Corn,327,8,64,7,Vegetarian,Hyderabadi,Manjula's Kitchen
467,Snack,Oatmeal Cookies (Low Sugar),230,10,46,6,Vegetarian,Kashmiri,Manjula's Kitchen
468,Snack,Oatmeal Cookies (Low Sugar),232,11,47,3,Vegetarian,Punjabi,Manjula's Kitchen
469,Snack,Oatmeal Cookies (Low Sugar),298,15,53,7,Vegetarian,Kashmiri,Manjula's Kitchen
470,Snack,Masala Corn,307,13,60,7,Vegetarian,Hyderabadi,Manjula's Kitchen
471,Snack,Masala Corn,202,8,48,3,Vegetarian,Punjabi,Manjula's Kitchen
472,Snack,Masala Corn,299,12,56,5,Vegetarian,Andhra,Manjula's Kitchen
473,Snack,Masala Corn,290,13,55,6,Vegetarian,Kashmiri,Manjula's Kitchen
474,Snack,Masala Corn,316,14,57,9,Vegetarian,Kashmiri,Manjula's Kitchen
475,Snack,Oatmeal Cookies (Low Sugar),306,13,61,5,Vegetarian,Punjabi,Manjula's Kitchen
476,Snack,Oatmeal Cookies (Low Sugar),315,12,57,8,Vegetarian,West Indian,Manjula's Kitchen
477,Snack,Masala Corn,273,7,49,5,Vegetarian,Punjabi,Manjula's Kitchen
478,Snack,Masala Corn,278,11,52,6,Vegetarian,Andhra,Manjula's Kitchen
479,Snack,Masala Corn,298,11,54,7,Vegetarian,West Indian,Manjula's Kitchen
480,Snack,Oatmeal Cookies (Low Sugar),319,15,54,9,Vegetarian,West Indian,Manjula's Kitchen
481,Snack,Masala Corn,333,10,59,6,Vegetarian,Andhra,Manjula's Kitchen
482,Snack,Oatmeal Cookies (Low Sugar),227,14,45,4,Vegetarian,Andhra,Manjula's Kitchen
483,Snack,Masala Corn,308,13,58,8,Vegetarian,Kashmiri,Manjula's Kitchen
484,Snack,Oatmeal Cookies (Low Sugar),243,5,40,5,Vegetarian,Kashmiri,Manjula's Kitchen
485,Snack,Masala Corn,269,10,58,5,Vegetarian,Punjabi,Manjula's Kitchen
486,Snack,Masala Corn,300,10,59,7,Vegetarian,Marathi,Manjula's Kitchen
487,Snack,Masala Corn,212,7,41,7,Vegetarian,Marathi,Manjula's Kitchen
488,Snack,Oatmeal Cookies (Low Sugar),314,13,59,6,Vegetarian,Punjabi,Manjula's Kitchen
489,Snack,Vegetable Soup,214,11,40,3,Vegetarian,Kashmiri,Manjula's Kitchen
490,Snack,Masala Corn,344,11,58,8,Vegetarian,Kashmiri,Manjula's Kitchen
491,Snack,Oatmeal Cookies (Low Sugar),327,15,60,10,Vegetarian,West Indian,Manjula's Kitchen
492,Snack,Masala Corn,338,12,58,5,Vegetarian,Andhra,Manjula's Kitchen
493,Snack,Oatmeal Cookies (Low Sugar),266,7,46,3,Vegetarian,Andhra,Manjula's Kitchen
494,Snack,Vegetable Soup,220,7,46,5,Vegetarian,Marathi,Manjula's Kitchen
495,Snack,Oatmeal Cookies (Low Sugar),305,9,52,8,Vegetarian,Punjabi,Manjula's Kitchen
496,Snack,Masala Corn,241,9,55,3,Vegetarian,Marathi,Manjula's Kitchen
497,Snack,Masala Corn,329,12,61,9,Vegetarian,Kashmiri,Manjula's Kitchen
498,Snack,Oatmeal Cookies (Low Sugar),349,13,62,11,Vegetarian,Punjabi,Manjula's Kitchen
499,Snack,Masala Corn,301,15,60,8,Vegetarian,Punjabi,Manjula's Kitchen
500,Snack,Masala Corn,243,5,47,2,Vegetarian,Punjabi,Manjula's Kitchen
